BeneficialUseCategory,PrimaryUseCategory,USGSCategoryNameCV,NAICSCodeNameCV
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
Agriculture,Agriculture,Irrigation,Crop Production
